wavelength_Q32,abs_Q32,wavelength_Q33,abs_Q33,wavelength_Q34,abs_Q34
350,14153,350,17679,350,10669
350,14153,351,17252,350,10669
350,14153,352,16919,350,10669
351,13884,353,16558,351,10358
352,13574,354,16237,352,10011
353,13341,355,15990,353,9692.2
354,13153,356,15704,354,9323.1
355,12906,357,15458,355,9015.3
356,12718,358,15203,356,8701.7
357,12564,359,15011,357,8428.3
358,12423,360,14713,358,8145.3
359,12237,361,14584,359,7906.3
360,12098,362,14294,360,7675
361,11976,363,14134,361,7458.9
362,11882,364,13934,362,7298.3
363,11818,365,13808,363,7135.8
364,11707,366,13597,364,7005.7
365,11677,367,13476,365,6885.3
366,11656,368,13295,366,6776.3
367,11572,369,13166,367,6717
368,11538,370,12990,368,6621.4
369,11493,371,12900,369,6617.6
370,11508,372,12731,370,6667.3
371,11485,373,12453,371,6682.6
372,11487,374,12434,372,6661.6
373,11448,375,12191,373,6697.9
374,11468,376,12057,374,6755.3
375,11427,377,11858,375,6818.4
376,11438,378,11854,376,6854.7
377,11401,379,11701,377,6948.4
378,11446,380,11513,378,7066.9
379,11448,381,11239,379,7189.3
380,11412,382,11168,380,7336.5
381,11448,383,11008,381,7489.5
382,11421,384,10968,382,7661.6
383,11512,385,10835,383,7889.1
384,11568,386,10745,384,8110.9
385,11559,387,10592,385,8244.7
386,11594,388,10475,386,8449.3
387,11628,389,10330,387,8631
388,11707,390,10232,388,8845.1
389,11784,391,10193,389,9044
390,11874,392,10079,390,9275.3
391,11957,393,10111,391,9462.7
392,12040,394,9961.7,392,9686.4
393,12126,395,10024,393,9898.7
394,12232,396,10048,394,10120
395,12297,397,10048,395,10291
396,12341,398,10134,396,10524
397,12425,399,10169,397,10706
398,12455,400,10259,398,10895
399,12493,401,10326,399,11111
400,12491,402,10357,400,11333
401,12474,403,10400,401,11549
402,12440,404,10393,402,11772
403,12423,405,10436,403,12048
404,12367,406,10459,404,12352
405,12284,407,10467,405,12677
406,12220,408,10538,406,13073
407,12156,409,10549,407,13524
408,12089,410,10628,408,14023
409,12053,411,10628,409,14644
410,12023,412,10769,410,15388
411,11955,413,10780,411,16193
412,11921,414,10933,412,17101
413,11933,415,10976,413,18109
414,11929,416,11133,414,19199
415,11972,417,11223,415,20386
416,12002,418,11466,416,21627
417,12087,419,11587,417,22914
418,12156,420,11787,418,24264
419,12305,421,12046,419,25667
420,12472,422,12355,420,27159
421,12649,423,12582,421,28746
422,12903,424,12900,422,30361
423,13170,425,13178,423,32096
424,13476,426,13550,424,33797
425,13852,427,13836,425,35463
426,14290,428,14212,426,37048
