wavelength_Q32,em_Q32,wavelength_Q33,em_Q33,wavelength_Q34,em_Q34,,,,,
615,0.00027604,640,0.018015,684,0.0011076,0.018015,,,,
616,0.0012653,641,0.021212,685,0.00094631,0.021212,,1.0000,1.0000,1.0000
617,0.0020383,642,0.024383,686,0.001518,0.024383,,,,
618,0.0021639,643,0.029387,687,0.0016077,0.029387,,,,
619,0.0032825,644,0.035075,688,0.0018484,0.035075,,,,
620,0.0049577,645,0.040628,689,0.0020807,0.040628,,,,
621,0.0048851,646,0.049114,690,0.0030251,0.049114,,,,
622,0.0053889,647,0.057405,691,0.003418,0.057405,,,,
623,0.0067343,648,0.067268,692,0.0035559,0.067268,,,,
624,0.0070566,649,0.079607,693,0.0044701,0.079607,,,,
625,0.0071451,650,0.093193,694,0.0050449,0.093193,,,,
626,0.0066309,651,0.10735,695,0.0056062,0.10735,,,,
627,0.0087152,652,0.1234,696,0.0064448,0.1234,,,,
628,0.0087531,653,0.1429,697,0.0064884,0.1429,,,,
629,0.0083137,654,0.16653,698,0.0072076,0.16653,,,,
630,0.00957,655,0.19066,699,0.0081747,0.19066,,,,
631,0.0093832,656,0.21877,700,0.0084667,0.21877,,,,
632,0.010588,657,0.24991,701,0.0090392,0.24991,,,,
633,0.010531,658,0.28572,702,0.009504,0.28572,,,,
634,0.011046,659,0.3249,703,0.0096422,0.3249,,,,
635,0.010293,660,0.36353,704,0.009825,0.36353,,,,
636,0.011613,661,0.41121,705,0.010507,0.41121,,,,
637,0.013121,662,0.45755,706,0.010745,0.45755,,,,
638,0.012491,663,0.50777,707,0.01068,0.50777,,,,
639,0.013649,664,0.55709,708,0.010799,0.55709,,,,
640,0.014085,665,0.60924,709,0.010808,0.60924,,,,
641,0.013694,666,0.65851,710,0.011369,0.65851,,,,
642,0.014817,667,0.71024,711,0.010839,0.71024,,,,
643,0.015489,668,0.76012,712,0.010762,0.76012,,,,
644,0.016083,669,0.80698,713,0.0106,0.80698,,,,
645,0.017881,670,0.84553,714,0.010577,0.84553,,,,
646,0.017233,671,0.8888,715,0.010144,0.8888,,,,
647,0.018732,672,0.92012,716,0.0095869,0.92012,,,,
648,0.019375,673,0.95016,717,0.0094353,0.95016,,,,
649,0.021177,674,0.97293,718,0.008151,0.97293,,,,
650,0.02181,675,0.99041,719,0.0084558,0.99041,,,,
651,0.022436,676,0.99542,720,0.0075519,0.99542,,,,
652,0.023169,677,1,721,0.0071112,1,,,,
653,0.024343,678,0.99438,722,0.0074968,0.99438,,,,
654,0.025832,679,0.98158,723,0.0074014,0.98158,,,,
655,0.027668,680,0.96344,724,0.0069755,0.96344,,,,
656,0.028619,681,0.94482,725,0.0076335,0.94482,,,,
657,0.029767,682,0.91195,726,0.0074931,0.91195,,,,
658,0.030584,683,0.87775,727,0.0084015,0.87775,,,,
659,0.032416,684,0.84463,728,0.0088408,0.84463,,,,
660,0.03401,685,0.80637,729,0.0092392,0.80637,,,,
661,0.035826,686,0.76579,730,0.010008,0.76579,,,,
662,0.038625,687,0.7237,731,0.011044,0.7237,,,,
663,0.040849,688,0.686,732,0.01257,0.686,,,,
664,0.041415,689,0.64278,733,0.01368,0.64278,,,,
665,0.045116,690,0.59833,734,0.015486,0.59833,,,,
666,0.046868,691,0.562,735,0.017587,0.562,,,,
667,0.047745,692,0.52804,736,0.019643,0.52804,,,,
668,0.050566,693,0.49171,737,0.021729,0.49171,,,,
669,0.052648,694,0.46069,738,0.025358,0.46069,,,,
670,0.054713,695,0.4259,739,0.029283,0.4259,,,,
671,0.055909,696,0.40109,740,0.031894,0.40109,,,,
672,0.059474,697,0.37516,741,0.035791,0.37516,,,,
673,0.061583,698,0.35465,742,0.041335,0.35465,,,,
674,0.062303,699,0.33259,743,0.04588,0.33259,,,,
675,0.066191,700,0.31616,744,0.052108,0.31616,,,,
676,0.067914,701,0.29609,745,0.057901,0.29609,,,,
677,0.070164,702,0.28429,746,0.065391,0.28429,,,,
678,0.072283,703,0.27424,747,0.073964,0.27424,,,,
679,0.073922,704,0.25898,748,0.081612,0.25898,,,,
680,0.075605,705,0.24868,749,0.089851,0.24868,,,,
681,0.078582,706,0.23814,750,0.10241,0.23814,,,,
682,0.080628,707,0.23014,751,0.11226,0.23014,,,,
683,0.082031,708,0.22396,752,0.12483,0.22396,,,,
684,0.085735,709,0.21804,753,0.13759,0.21804,,,,
685,0.089266,710,0.21327,754,0.15248,0.21327,,,,
686,0.094219,711,0.21056,755,0.16644,0.21056,,,,
687,0.097139,712,0.20639,756,0.18294,0.20639,,,,
688,0.10233,713,0.20428,757,0.20428,0.20428,,,,
689,0.10819,714,0.20451,758,0.22608,0.20451,,,,
690,0.11507,715,0.20573,759,0.24847,0.20573,,,,
