product_name,product_smiles,alkyne,nitrile,regioisomer
py_1,c1ccc(Cc2cc(-c3ccccc3)cc(-c3ccccc3)n2)cc1,Phenylacetylene,Phenylacetonitrile,conf_1
py_2,c1ccc(Cc2nc(-c3ccccc3)ccc2-c2ccccc2)cc1,Phenylacetylene,Phenylacetonitrile,conf_2
py_3,c1ccc(Cc2cc(-c3ccccc3)c(-c3ccccc3)cn2)cc1,Phenylacetylene,Phenylacetonitrile,conf_3
py_4,c1ccc(Cc2ncc(-c3ccccc3)cc2-c2ccccc2)cc1,Phenylacetylene,Phenylacetonitrile,conf_4
py_5,Cc1cc(-c2ccccc2)cc(-c2ccccc2)n1,Phenylacetylene,Acetonitrile,conf_1
py_6,Cc1nc(-c2ccccc2)ccc1-c1ccccc1,Phenylacetylene,Acetonitrile,conf_2
py_7,Cc1cc(-c2ccccc2)c(-c2ccccc2)cn1,Phenylacetylene,Acetonitrile,conf_3
py_8,Cc1ncc(-c2ccccc2)cc1-c1ccccc1,Phenylacetylene,Acetonitrile,conf_4
py_9,C=Cc1cc(-c2ccccc2)cc(-c2ccccc2)n1,Phenylacetylene,Acrylonitrile,conf_1
py_10,C=Cc1nc(-c2ccccc2)ccc1-c1ccccc1,Phenylacetylene,Acrylonitrile,conf_2
py_11,C=Cc1cc(-c2ccccc2)c(-c2ccccc2)cn1,Phenylacetylene,Acrylonitrile,conf_3
py_12,C=Cc1ncc(-c2ccccc2)cc1-c1ccccc1,Phenylacetylene,Acrylonitrile,conf_4
py_13,c1ccc(-c2cc(-c3ccccc3)nc(-c3ccccc3)c2)cc1,Phenylacetylene,Benzonitrile,conf_1
py_14,c1ccc(-c2ccc(-c3ccccc3)c(-c3ccccc3)n2)cc1,Phenylacetylene,Benzonitrile,conf_2
py_15,c1ccc(-c2cc(-c3ccccc3)c(-c3ccccc3)cn2)cc1,Phenylacetylene,Benzonitrile,conf_3
py_16,c1ccc(-c2cnc(-c3ccccc3)c(-c3ccccc3)c2)cc1,Phenylacetylene,Benzonitrile,conf_4
py_17,CC(C)c1cc(-c2ccccc2)cc(-c2ccccc2)n1,Phenylacetylene,Isobutyronitrile,conf_1
py_18,CC(C)c1nc(-c2ccccc2)ccc1-c1ccccc1,Phenylacetylene,Isobutyronitrile,conf_2
py_19,CC(C)c1cc(-c2ccccc2)c(-c2ccccc2)cn1,Phenylacetylene,Isobutyronitrile,conf_3
py_20,CC(C)c1ncc(-c2ccccc2)cc1-c1ccccc1,Phenylacetylene,Isobutyronitrile,conf_4
py_21,[C]1CC1c1cc(-c2ccccc2)cc(-c2ccccc2)n1,Phenylacetylene,2-Cyanocyclopropylidene,conf_1
py_22,[C]1CC1c1nc(-c2ccccc2)ccc1-c1ccccc1,Phenylacetylene,2-Cyanocyclopropylidene,conf_2
py_23,[C]1CC1c1cc(-c2ccccc2)c(-c2ccccc2)cn1,Phenylacetylene,2-Cyanocyclopropylidene,conf_3
py_24,[C]1CC1c1ncc(-c2ccccc2)cc1-c1ccccc1,Phenylacetylene,2-Cyanocyclopropylidene,conf_4
py_25,c1ccc(Cc2cc(Cc3ccccc3)nc(Cc3ccccc3)c2)cc1,3-Phenyl-1-propyne,Phenylacetonitrile,conf_1
py_26,c1ccc(Cc2ccc(Cc3ccccc3)c(Cc3ccccc3)n2)cc1,3-Phenyl-1-propyne,Phenylacetonitrile,conf_2
py_27,c1ccc(Cc2cc(Cc3ccccc3)c(Cc3ccccc3)cn2)cc1,3-Phenyl-1-propyne,Phenylacetonitrile,conf_3
py_28,c1ccc(Cc2cnc(Cc3ccccc3)c(Cc3ccccc3)c2)cc1,3-Phenyl-1-propyne,Phenylacetonitrile,conf_4
py_29,Cc1cc(Cc2ccccc2)cc(Cc2ccccc2)n1,3-Phenyl-1-propyne,Acetonitrile,conf_1
py_30,Cc1nc(Cc2ccccc2)ccc1Cc1ccccc1,3-Phenyl-1-propyne,Acetonitrile,conf_2
py_31,Cc1cc(Cc2ccccc2)c(Cc2ccccc2)cn1,3-Phenyl-1-propyne,Acetonitrile,conf_3
py_32,Cc1ncc(Cc2ccccc2)cc1Cc1ccccc1,3-Phenyl-1-propyne,Acetonitrile,conf_4
py_33,C=Cc1cc(Cc2ccccc2)cc(Cc2ccccc2)n1,3-Phenyl-1-propyne,Acrylonitrile,conf_1
py_34,C=Cc1nc(Cc2ccccc2)ccc1Cc1ccccc1,3-Phenyl-1-propyne,Acrylonitrile,conf_2
py_35,C=Cc1cc(Cc2ccccc2)c(Cc2ccccc2)cn1,3-Phenyl-1-propyne,Acrylonitrile,conf_3
py_36,C=Cc1ncc(Cc2ccccc2)cc1Cc1ccccc1,3-Phenyl-1-propyne,Acrylonitrile,conf_4
py_37,c1ccc(Cc2cc(Cc3ccccc3)nc(-c3ccccc3)c2)cc1,3-Phenyl-1-propyne,Benzonitrile,conf_1
py_38,c1ccc(Cc2ccc(Cc3ccccc3)c(-c3ccccc3)n2)cc1,3-Phenyl-1-propyne,Benzonitrile,conf_2
py_39,c1ccc(Cc2cnc(-c3ccccc3)cc2Cc2ccccc2)cc1,3-Phenyl-1-propyne,Benzonitrile,conf_3
py_40,c1ccc(Cc2cnc(-c3ccccc3)c(Cc3ccccc3)c2)cc1,3-Phenyl-1-propyne,Benzonitrile,conf_4
py_41,CC(C)c1cc(Cc2ccccc2)cc(Cc2ccccc2)n1,3-Phenyl-1-propyne,Isobutyronitrile,conf_1
py_42,CC(C)c1nc(Cc2ccccc2)ccc1Cc1ccccc1,3-Phenyl-1-propyne,Isobutyronitrile,conf_2
py_43,CC(C)c1cc(Cc2ccccc2)c(Cc2ccccc2)cn1,3-Phenyl-1-propyne,Isobutyronitrile,conf_3
py_44,CC(C)c1ncc(Cc2ccccc2)cc1Cc1ccccc1,3-Phenyl-1-propyne,Isobutyronitrile,conf_4
py_45,[C]1CC1c1cc(Cc2ccccc2)cc(Cc2ccccc2)n1,3-Phenyl-1-propyne,2-Cyanocyclopropylidene,conf_1
py_46,[C]1CC1c1nc(Cc2ccccc2)ccc1Cc1ccccc1,3-Phenyl-1-propyne,2-Cyanocyclopropylidene,conf_2
py_47,[C]1CC1c1cc(Cc2ccccc2)c(Cc2ccccc2)cn1,3-Phenyl-1-propyne,2-Cyanocyclopropylidene,conf_3
py_48,[C]1CC1c1ncc(Cc2ccccc2)cc1Cc1ccccc1,3-Phenyl-1-propyne,2-Cyanocyclopropylidene,conf_4
