code_name,ddG
1a3a,1.32
1a3e,1.41
1a3h,0.61
1a3d,1.29
1a3i,1.21
1a3j,1.22
1a3k,0.64
1a3l,1.11
1a3b,1.22
1a3g,0.93
1f3a,1.2
1f3e,1.47
1f3h,0.79
1f3d,1.13
1f3i,1.25
1f3j,1.4
1f3k,1.08
1f3l,1.38
1f3b,1.21
1f3g,0.61
1m3a,2.01
1m3e,1.71
1m3h,0.68
1m3d,1.58
1m3i,1.68
1m3j,1.6
1m3k,1.15
1m3l,1.56
1m3b,1.61
1m3g,0.7
1b3a,1.2
1b3e,1.28
1b3h,0.59
1b3d,1.11
1b3i,1.18
1b3j,1.16
1b3k,0.82
1b3l,1.11
1b3b,1.2
1b3g,0.87
1i3a,1.11
1i3e,1.26
1i3h,0.61
1i3d,1.09
1i3i,1.09
1i3j,1.01
1i3k,0.65
1i3l,0.9
1i3b,1.05
1i3g,0.75
1d3a,1.14
1d3e,1.14
1d3h,0.46
1d3d,1.12
1d3i,0.96
1d3j,0.87
1d3k,0.57
1d3l,0.78
1d3b,1
1d3g,0.89
1c3a,1.24
1c3e,1.7
1c3h,0.56
1c3d,1.56
1c3i,1.6
1c3j,1.66
1c3k,1.19
1c3l,1.53
1c3b,1.5
1c3g,0.8
1e3a,1.05
1e3e,1.19
1e3h,0.5
1e3d,1.03
1e3i,1
1e3j,0.99
1e3k,0.55
1e3l,0.97
1e3b,1.1
1e3g,0.64
1q3a,1.14
1q3e,1.32
1q3h,0.62
1q3d,1.07
1q3i,1.11
1q3j,1.26
1q3k,0.7
1q3l,1.07
1q3b,0.99
1q3g,0.63
1l3a,0.93
1l3e,1
1l3h,0.38
1l3d,0.98
1l3i,0.8
1l3j,0.6
1l3k,0.38
1l3l,0.74
1l3b,0.91
1l3g,0.57
1k3a,0.56
1k3e,0.62
1k3h,0.24
1k3d,0.57
1k3i,0.59
1k3j,0.56
1k3k,0.35
1k3l,0.5
1k3b,0.61
1k3g,0.25
1h3a,0.9
1h3e,1
1h3h,0.41
1h3d,0.87
1h3i,0.95
1h3j,0.92
1h3k,0.39
1h3l,0.93
1h3b,0.9
1h3g,0.41
1g3a,0.76
1g3e,0.81
1g3h,0.18
1g3d,0.87
1g3i,0.5
1g3j,0.31
1g3k,0.05
1g3l,0.41
1g3b,0.58
1g3g,0.74
1j3a,0.42
1j3e,0.46
1j3h,0.13
1j3d,0.42
1j3i,0.4
1j3j,0.36
1j3k,0.25
1j3l,0.35
1j3b,0.43
1j3g,0.31
1p3a,1.39
1p3e,1.61
1p3h,0.71
1p3d,1.29
1p3i,1.56
1p3j,1.66
1p3k,1.48
1p3l,1.52
1p3b,1.42
1p3g,0.85
1o3a,1.36
1o3e,1.61
1o3h,0.82
1o3d,1.34
1o3i,1.28
1o3j,1.5
1o3k,0.81
1o3l,1.26
1o3b,1.16
1o3g,0.85
1n3a,1.5
1n3e,1.57
1n3h,0.61
1n3d,1.61
1n3i,1.54
1n3j,1.35
1n3k,1.25
1n3l,1.29
1n3b,1.49
1n3g,0.91
