code_name,barrier,Ir_Partial charge,Ir_Atom SASA,Ir_Buried volume,Ir_Atom H bond H2O,Ir_Fukui+,Ir_Fukui-,Ir_Atom electrophilicity,Ir_Fukui_rad,Ir_Fukui dual,Ir_Atom dipole moment,Ir_Coord. numbers,Ir_Atom Polarizability,Ir_Atom FOD,Ir_Atom dispersion,Ir_Pyramidalization,Ir_Pyramidaliz. volume,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Polarizability,Total FOD,Hardness,Softness,Dispersion area,Dispersion volume,Chem. potential,Electrophilicity,Electrofugality,Nucleofugality,S0-T1 gap
ir_tbp_1_dft-pet3_1_dft-sime_1_dft-co_1_dft-icn_1_smi1_1_s_1,14.8,-0.0015,0.2998,77.3082,0,0.1092,0.1508,0.039,0.1301,-0.0416,0.5888,3.6455,32.5019,0.2134,40.9067,0.0044,2.0754,8.9088,-7.4845,1.4242,6.2232,-1.4085,3.4758,536.7003,-16.0952,-2.397,-6.9478,240.0967,0.4353,7.6317,0.1311,418.8058,424.6462,-2.4073,0.3797,6.6029,1.7882,68.0931
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,12.4,0.1619,0.8984,74.8437,0,0.1198,0.1509,0.0375,0.1353,-0.0312,0.76,3.3745,32.2903,0.279,36.3018,0.0093,1.6061,8.0544,-6.5667,1.4877,5.7037,-1.5473,6.7041,484.7886,-21.4365,-3.3586,-6.726,208.658,0.592,7.251,0.1379,366.0624,364.603,-2.0782,0.2978,6.0015,1.8451,61.2358
ir_tbp_1_dft-pph3_1_dft-oxaz_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,5.2,-0.0572,3.5777,73.7103,0,0.0137,0.1581,0.0252,0.0862,-0.1444,0.5986,3.6447,32.5399,0.4203,37.5354,0.0287,1.283,7.6321,-6.8829,0.7491,5.8731,0.0964,6.7042,646.1068,-20.7629,-3.3512,-7.3093,329.8896,1.0174,5.7766,0.1731,489.2335,504.3467,-2.9848,0.7711,6.6442,0.6747,52.5286
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_chloride_1_smi1_1_s_1,10.5,-0.0909,7.6459,70.1743,0,0.0289,0.1068,0.0248,0.0679,-0.078,0.8499,3.6229,31.9704,0.3565,34.604,0.0035,0.1176,5.9645,-6.9737,-1.0091,6.3444,0.1463,5.0937,443.1311,-23.6496,-4.22,-8.0607,188.156,0.9319,6.1982,0.1614,312.3464,305.8262,-3.2454,0.8496,7.1941,0.7034,44.1759
ir_tbp_1_dft-pme3_1_dft-ime_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,9.4,-0.113,1.4191,74.346,0,0.1048,0.1582,0.0264,0.1318,-0.0534,0.2399,3.724,32.8906,0.2874,38.378,0.0023,0.618,8.3451,-6.6045,1.7406,4.9981,-2.049,5.9299,523.766,-12.71,-1.9205,-5.969,221.4603,0.6041,7.0472,0.1419,391.0122,375.3632,-1.4745,0.1543,5.1524,2.2033,61.594
ir_tbp_1_dft-pet3_1_dft-py_1_dft-co_1_dft-sh_1_smi1_1_s_1,8.9,-0.1306,2.1981,74.158,0,0.0239,0.1296,0.0248,0.0767,-0.1057,0.7322,3.6503,32.2602,0.3027,37.2584,0.0129,0.1997,6.782,-7.0018,-0.2198,6.1049,-0.0847,3.4801,498.8647,-9.6923,-1.5892,-7.8656,230.7127,0.8726,6.1896,0.1616,368.8108,380.8382,-3.0101,0.732,6.8369,0.8167,51.0974
ir_tbp_1_dft-pme3_1_dft-sime_1_dft-co_1_dft-icn_1_smi1_1_s_1,15.5,0.0011,1.594,73.4186,0,0.1126,0.1535,0.0397,0.1331,-0.0409,0.6014,3.648,32.4924,0.21,37.578,0.0031,1.5803,9.1379,-7.3871,1.7508,6.2907,-1.4417,3.9366,493.6663,-16.9999,-2.7961,-6.9637,205.1731,0.4289,7.7325,0.1293,370.4517,356.9875,-2.4245,0.3801,6.6708,1.8218,68.4278
ir_tbp_1_dft-pet3_1_dft-pet3_1_dft-hicn_1_dft-sh_1_smi1_1_s_1,4.1,-0.3062,0.7963,78.5849,0,0.1344,0.1019,0.0388,0.1185,0.0325,0.1945,3.7436,32.3181,0.2488,41.8569,0.0599,0.7925,7.9669,-7.4356,0.5312,5.6601,-1.296,4.8595,545.1479,-14.9751,-3.3323,-6.902,272.0733,0.5249,6.9561,0.1438,433.9027,469.4533,-2.1821,0.3423,6.0024,1.6382,57.8765
ir_tbp_1_dft-py_1_dft-sime_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,9,0.1075,0.4472,75.69,0,0.0269,0.1454,0.0265,0.0866,-0.1185,0.7057,3.5825,32.5088,0.4017,35.7186,0.0925,1.8812,6.7215,-6.3652,0.3564,5.5652,-0.3691,3.8045,487.4358,-31.4504,-4.7782,-7.3011,203.6424,1.0503,5.9343,0.1685,354.0568,343.9007,-2.5981,0.5687,6.134,0.9378,38.5752
ir_tbp_1_dft-pme3_1_dft-nme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,6.5,-0.0895,9.153,71.663,0,0.2047,0.1807,0.0462,0.1927,0.024,0.7502,3.4663,32.4714,0.247,34.4545,0.0002,0.1618,8.2739,-6.8984,1.3755,5.6873,-2.0379,8.8569,460.5435,-18.447,-1.9277,-6.4028,191.9437,0.4634,7.7252,0.1295,342.634,338.7155,-1.8247,0.2155,5.9028,2.2534,64.5668
