Reaction,Substrate,Catalyst,Base,Solvent,Yield
1,Brc1cccnc1,cphos-pd-g4,P2Et,DMSO,31.24881476
2,Brc1cccnc1,cphos-pd-g4,P2Et,"1,4-Dioxane",34.02447128
3,Brc1cccnc1,cphos-pd-g4,P2Et,t-AmOH,36.68487103
4,Brc1cccnc1,cphos-pd-g4,P2Et,DMA,34.54861579
5,Brc1cccnc1,cphos-pd-g4,P2Et,Toluene,35.67329762
6,Brc1cccnc1,cphos-pd-g4,P2Et,2-Me-THF,32.94261179
7,Brc1cccnc1,cphos-pd-g4,LiOTMS,DMSO,25.77320247
8,Brc1cccnc1,cphos-pd-g4,LiOTMS,"1,4-Dioxane",28.54885898
9,Brc1cccnc1,cphos-pd-g4,LiOTMS,t-AmOH,31.20925873
10,Brc1cccnc1,cphos-pd-g4,LiOTMS,DMA,29.0730035
11,Brc1cccnc1,cphos-pd-g4,LiOTMS,Toluene,30.19768533
12,Brc1cccnc1,cphos-pd-g4,LiOTMS,2-Me-THF,27.4669995
13,Brc1cccnc1,cphos-pd-g4,NaOtBu,DMSO,31.91949744
14,Brc1cccnc1,cphos-pd-g4,NaOtBu,"1,4-Dioxane",34.69515395
15,Brc1cccnc1,cphos-pd-g4,NaOtBu,t-AmOH,37.35555371
16,Brc1cccnc1,cphos-pd-g4,NaOtBu,DMA,35.21929847
17,Brc1cccnc1,cphos-pd-g4,NaOtBu,Toluene,36.3439803
18,Brc1cccnc1,cphos-pd-g4,NaOtBu,2-Me-THF,33.61329447
19,Brc1cccnc1,cphos-pd-g4,Cs2CO3,DMSO,32.05915773
20,Brc1cccnc1,cphos-pd-g4,Cs2CO3,"1,4-Dioxane",34.83481425
21,Brc1cccnc1,cphos-pd-g4,Cs2CO3,t-AmOH,37.495214
22,Brc1cccnc1,cphos-pd-g4,Cs2CO3,DMA,35.35895876
23,Brc1cccnc1,cphos-pd-g4,Cs2CO3,Toluene,36.48364059
24,Brc1cccnc1,cphos-pd-g4,Cs2CO3,2-Me-THF,33.75295476
25,Brc1cccnc1,cphos-pd-g4,BTMG,DMSO,27.12911321
26,Brc1cccnc1,cphos-pd-g4,BTMG,"1,4-Dioxane",29.90476972
27,Brc1cccnc1,cphos-pd-g4,BTMG,t-AmOH,32.56516948
28,Brc1cccnc1,cphos-pd-g4,BTMG,DMA,30.42891424
29,Brc1cccnc1,cphos-pd-g4,BTMG,Toluene,31.55359607
30,Brc1cccnc1,cphos-pd-g4,BTMG,2-Me-THF,28.82291024
31,Brc1cccnc1,cphos-pd-g4,K3PO4,DMSO,27.42269909
32,Brc1cccnc1,cphos-pd-g4,K3PO4,"1,4-Dioxane",30.1983556
33,Brc1cccnc1,cphos-pd-g4,K3PO4,t-AmOH,32.85875535
34,Brc1cccnc1,cphos-pd-g4,K3PO4,DMA,30.72250012
35,Brc1cccnc1,cphos-pd-g4,K3PO4,Toluene,31.84718194
36,Brc1cccnc1,cphos-pd-g4,K3PO4,2-Me-THF,29.11649611
37,Brc1cccnc1,ruphos-pd-g4,P2Et,DMSO,39.33228292
38,Brc1cccnc1,ruphos-pd-g4,P2Et,"1,4-Dioxane",42.10793943
39,Brc1cccnc1,ruphos-pd-g4,P2Et,t-AmOH,62.41666667
40,Brc1cccnc1,ruphos-pd-g4,P2Et,DMA,42.63208395
41,Brc1cccnc1,ruphos-pd-g4,P2Et,Toluene,43.75676577
42,Brc1cccnc1,ruphos-pd-g4,P2Et,2-Me-THF,41.02607994
43,Brc1cccnc1,ruphos-pd-g4,LiOTMS,DMSO,33.85667062
44,Brc1cccnc1,ruphos-pd-g4,LiOTMS,"1,4-Dioxane",36.63232714
45,Brc1cccnc1,ruphos-pd-g4,LiOTMS,t-AmOH,39.29272689
46,Brc1cccnc1,ruphos-pd-g4,LiOTMS,DMA,37.15647165
47,Brc1cccnc1,ruphos-pd-g4,LiOTMS,Toluene,38.28115348
48,Brc1cccnc1,ruphos-pd-g4,LiOTMS,2-Me-THF,35.55046765
49,Brc1cccnc1,ruphos-pd-g4,NaOtBu,DMSO,40.0029656
50,Brc1cccnc1,ruphos-pd-g4,NaOtBu,"1,4-Dioxane",42.77862211
51,Brc1cccnc1,ruphos-pd-g4,NaOtBu,t-AmOH,99
52,Brc1cccnc1,ruphos-pd-g4,NaOtBu,DMA,43.30276663
53,Brc1cccnc1,ruphos-pd-g4,NaOtBu,Toluene,44.42744845
54,Brc1cccnc1,ruphos-pd-g4,NaOtBu,2-Me-THF,41.69676262
55,Brc1cccnc1,ruphos-pd-g4,Cs2CO3,DMSO,40.14262589
56,Brc1cccnc1,ruphos-pd-g4,Cs2CO3,"1,4-Dioxane",42.9182824
57,Brc1cccnc1,ruphos-pd-g4,Cs2CO3,t-AmOH,45.57868215
58,Brc1cccnc1,ruphos-pd-g4,Cs2CO3,DMA,43.44242692
59,Brc1cccnc1,ruphos-pd-g4,Cs2CO3,Toluene,44.56710874
60,Brc1cccnc1,ruphos-pd-g4,Cs2CO3,2-Me-THF,41.83642291
61,Brc1cccnc1,ruphos-pd-g4,BTMG,DMSO,35.21258137
62,Brc1cccnc1,ruphos-pd-g4,BTMG,"1,4-Dioxane",37.98823788
63,Brc1cccnc1,ruphos-pd-g4,BTMG,t-AmOH,40.64863763
64,Brc1cccnc1,ruphos-pd-g4,BTMG,DMA,35
65,Brc1cccnc1,ruphos-pd-g4,BTMG,Toluene,39.63706422
66,Brc1cccnc1,ruphos-pd-g4,BTMG,2-Me-THF,36.90637839
67,Brc1cccnc1,ruphos-pd-g4,K3PO4,DMSO,35.50616724
68,Brc1cccnc1,ruphos-pd-g4,K3PO4,"1,4-Dioxane",38.28182375
69,Brc1cccnc1,ruphos-pd-g4,K3PO4,t-AmOH,40.94222351
70,Brc1cccnc1,ruphos-pd-g4,K3PO4,DMA,38.80596827
71,Brc1cccnc1,ruphos-pd-g4,K3PO4,Toluene,39.9306501
72,Brc1cccnc1,ruphos-pd-g4,K3PO4,2-Me-THF,37.19996427
73,Brc1cccnc1,p(tbu)3-pd-g4,P2Et,DMSO,64.25
74,Brc1cccnc1,p(tbu)3-pd-g4,P2Et,"1,4-Dioxane",87
75,Brc1cccnc1,p(tbu)3-pd-g4,P2Et,t-AmOH,46.41638368
76,Brc1cccnc1,p(tbu)3-pd-g4,P2Et,DMA,44.28012844
77,Brc1cccnc1,p(tbu)3-pd-g4,P2Et,Toluene,45.40481027
78,Brc1cccnc1,p(tbu)3-pd-g4,P2Et,2-Me-THF,42.67412444
79,Brc1cccnc1,p(tbu)3-pd-g4,LiOTMS,DMSO,35.50471512
80,Brc1cccnc1,p(tbu)3-pd-g4,LiOTMS,"1,4-Dioxane",38.28037163
81,Brc1cccnc1,p(tbu)3-pd-g4,LiOTMS,t-AmOH,40.94077138
82,Brc1cccnc1,p(tbu)3-pd-g4,LiOTMS,DMA,38.80451615
83,Brc1cccnc1,p(tbu)3-pd-g4,LiOTMS,Toluene,39.92919797
84,Brc1cccnc1,p(tbu)3-pd-g4,LiOTMS,2-Me-THF,37.19851214
85,Brc1cccnc1,p(tbu)3-pd-g4,NaOtBu,DMSO,41.65101009
86,Brc1cccnc1,p(tbu)3-pd-g4,NaOtBu,"1,4-Dioxane",44.4266666
87,Brc1cccnc1,p(tbu)3-pd-g4,NaOtBu,t-AmOH,47.08706635
88,Brc1cccnc1,p(tbu)3-pd-g4,NaOtBu,DMA,44.95081112
89,Brc1cccnc1,p(tbu)3-pd-g4,NaOtBu,Toluene,46.07549295
90,Brc1cccnc1,p(tbu)3-pd-g4,NaOtBu,2-Me-THF,43.34480712
91,Brc1cccnc1,p(tbu)3-pd-g4,Cs2CO3,DMSO,41.79067038
92,Brc1cccnc1,p(tbu)3-pd-g4,Cs2CO3,"1,4-Dioxane",65.5
93,Brc1cccnc1,p(tbu)3-pd-g4,Cs2CO3,t-AmOH,47.22672665
94,Brc1cccnc1,p(tbu)3-pd-g4,Cs2CO3,DMA,45.09047141
95,Brc1cccnc1,p(tbu)3-pd-g4,Cs2CO3,Toluene,46.21515324
96,Brc1cccnc1,p(tbu)3-pd-g4,Cs2CO3,2-Me-THF,43.48446741
97,Brc1cccnc1,p(tbu)3-pd-g4,BTMG,DMSO,36.86062586
98,Brc1cccnc1,p(tbu)3-pd-g4,BTMG,"1,4-Dioxane",39.63628237
99,Brc1cccnc1,p(tbu)3-pd-g4,BTMG,t-AmOH,24
100,Brc1cccnc1,p(tbu)3-pd-g4,BTMG,DMA,40.16042689
101,Brc1cccnc1,p(tbu)3-pd-g4,BTMG,Toluene,41.28510872
102,Brc1cccnc1,p(tbu)3-pd-g4,BTMG,2-Me-THF,38.55442289
103,Brc1cccnc1,p(tbu)3-pd-g4,K3PO4,DMSO,37.15421174
104,Brc1cccnc1,p(tbu)3-pd-g4,K3PO4,"1,4-Dioxane",39.92986825
105,Brc1cccnc1,p(tbu)3-pd-g4,K3PO4,t-AmOH,42.590268
106,Brc1cccnc1,p(tbu)3-pd-g4,K3PO4,DMA,40.45401277
107,Brc1cccnc1,p(tbu)3-pd-g4,K3PO4,Toluene,41.57869459
108,Brc1cccnc1,p(tbu)3-pd-g4,K3PO4,2-Me-THF,38.84800876
109,Brc1cccnc1,empty,P2Et,DMSO,34.52691868
110,Brc1cccnc1,empty,P2Et,"1,4-Dioxane",37.30257519
111,Brc1cccnc1,empty,P2Et,t-AmOH,39.96297495
112,Brc1cccnc1,empty,P2Et,DMA,37.82671971
113,Brc1cccnc1,empty,P2Et,Toluene,38.95140154
114,Brc1cccnc1,empty,P2Et,2-Me-THF,36.22071571
