Reaction,Aryl SMILES,Catalyst Name,Base Name,Solvent Name,Yield
1,Brc1cccnc1,binap-pd-g3,DBU,DMSO,0
2,Brc1cccnc1,binap-pd-g3,MTBD,DMSO,0
3,Brc1cccnc1,binap-pd-g3,BTMG,DMSO,0
4,Brc1cccnc1,binap-pd-g3,BEMP,DMSO,0.13729459
5,Brc1cccnc1,binap-pd-g3,BTTP,DMSO,0
6,Brc1cccnc1,binap-pd-g3,P2Et,DMSO,0
7,Brc1cccnc1,dppf-pd-g3,DBU,DMSO,0
8,Brc1cccnc1,dppf-pd-g3,MTBD,DMSO,0
9,Brc1cccnc1,dppf-pd-g3,BTMG,DMSO,0
10,Brc1cccnc1,dppf-pd-g3,BEMP,DMSO,0.10038416
11,Brc1cccnc1,dppf-pd-g3,BTTP,DMSO,0
12,Brc1cccnc1,dppf-pd-g3,P2Et,DMSO,0
13,Brc1cccnc1,xantphos-pd-g2,DBU,DMSO,0
14,Brc1cccnc1,xantphos-pd-g2,MTBD,DMSO,0
15,Brc1cccnc1,xantphos-pd-g2,BTMG,DMSO,0
16,Brc1cccnc1,xantphos-pd-g2,BEMP,DMSO,0.14681019
17,Brc1cccnc1,xantphos-pd-g2,BTTP,DMSO,0
18,Brc1cccnc1,xantphos-pd-g2,P2Et,DMSO,0
19,Brc1cccnc1,tbu3p-pd-g2,DBU,DMSO,0
20,Brc1cccnc1,tbu3p-pd-g2,MTBD,DMSO,0
21,Brc1cccnc1,tbu3p-pd-g2,BTMG,DMSO,0
22,Brc1cccnc1,tbu3p-pd-g2,BEMP,DMSO,0.16450928
23,Brc1cccnc1,tbu3p-pd-g2,BTTP,DMSO,0
24,Brc1cccnc1,tbu3p-pd-g2,P2Et,DMSO,0
25,Brc1cccnc1,ppa-pd-g3,DBU,DMSO,0
26,Brc1cccnc1,ppa-pd-g3,MTBD,DMSO,0
27,Brc1cccnc1,ppa-pd-g3,BTMG,DMSO,0
28,Brc1cccnc1,ppa-pd-g3,BEMP,DMSO,0.38345146
29,Brc1cccnc1,ppa-pd-g3,BTTP,DMSO,0
30,Brc1cccnc1,ppa-pd-g3,P2Et,DMSO,0
31,Brc1cccnc1,aphos-pd-g3,DBU,DMSO,0.2290513
32,Brc1cccnc1,aphos-pd-g3,MTBD,DMSO,0.4204707
33,Brc1cccnc1,aphos-pd-g3,BTMG,DMSO,0.40097377
34,Brc1cccnc1,aphos-pd-g3,BEMP,DMSO,0.35613424
35,Brc1cccnc1,aphos-pd-g3,BTTP,DMSO,0.23678105
36,Brc1cccnc1,aphos-pd-g3,P2Et,DMSO,0.29592267
37,Brc1cccnc1,xphos-pd-g3,DBU,DMSO,0
38,Brc1cccnc1,xphos-pd-g3,MTBD,DMSO,0
39,Brc1cccnc1,xphos-pd-g3,BTMG,DMSO,0
40,Brc1cccnc1,xphos-pd-g3,BEMP,DMSO,0.13556796
41,Brc1cccnc1,xphos-pd-g3,BTTP,DMSO,0
42,Brc1cccnc1,xphos-pd-g3,P2Et,DMSO,1.0586818
43,Brc1cccnc1,ruphos-pd-g2,DBU,DMSO,0
44,Brc1cccnc1,ruphos-pd-g2,MTBD,DMSO,0
45,Brc1cccnc1,ruphos-pd-g2,BTMG,DMSO,0
46,Brc1cccnc1,ruphos-pd-g2,BEMP,DMSO,0.13089462
47,Brc1cccnc1,ruphos-pd-g2,BTTP,DMSO,0
48,Brc1cccnc1,ruphos-pd-g2,P2Et,DMSO,0.4841504
49,Brc1cccnc1,dtbpf-pd-g3,DBU,DMSO,0
50,Brc1cccnc1,dtbpf-pd-g3,MTBD,DMSO,0
51,Brc1cccnc1,dtbpf-pd-g3,BTMG,DMSO,0
52,Brc1cccnc1,dtbpf-pd-g3,BEMP,DMSO,0.14090055
53,Brc1cccnc1,dtbpf-pd-g3,BTTP,DMSO,0
54,Brc1cccnc1,dtbpf-pd-g3,P2Et,DMSO,0.17549257
55,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,DBU,DMSO,0
56,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,MTBD,DMSO,0
