Reaction,Substrate,Substrate_MolWt,Substrate_MolLogP,Substrate_TPSA,Catalyst,Base,Solvent,Solvent_MolWt,Solvent_MolLogP,Solvent_TPSA,Yield
1,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,P2Et,DMSO,78.136,-0.0053,17.07,28.408
2,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,P2Et,"1,4-Dioxane",88.106,0.0332,18.46,30.9313
3,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,P2Et,t-AmOH,88.15,1.1673,20.23,33.3499
4,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,P2Et,DMA,87.122,0.0945,20.31,31.4078
5,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,P2Et,Toluene,92.141,1.995,0.0,32.4303
6,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,P2Et,2-Me-THF,86.134,1.1853,9.23,29.9478
7,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,LiOTMS,DMSO,78.136,-0.0053,17.07,23.4302
8,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,LiOTMS,"1,4-Dioxane",88.106,0.0332,18.46,25.9535
9,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,LiOTMS,t-AmOH,88.15,1.1673,20.23,28.3721
10,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,LiOTMS,DMA,87.122,0.0945,20.31,26.43
11,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,LiOTMS,Toluene,92.141,1.995,0.0,27.4524
12,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,LiOTMS,2-Me-THF,86.134,1.1853,9.23,24.97
13,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,NaOtBu,DMSO,78.136,-0.0053,17.07,29.0177
14,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,NaOtBu,"1,4-Dioxane",88.106,0.0332,18.46,31.541
15,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,NaOtBu,t-AmOH,88.15,1.1673,20.23,33.9596
16,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,NaOtBu,DMA,87.122,0.0945,20.31,32.0175
17,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,NaOtBu,Toluene,92.141,1.995,0.0,33.04
18,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,NaOtBu,2-Me-THF,86.134,1.1853,9.23,30.5575
19,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,Cs2CO3,DMSO,78.136,-0.0053,17.07,29.1447
20,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,Cs2CO3,"1,4-Dioxane",88.106,0.0332,18.46,31.668
21,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,Cs2CO3,t-AmOH,88.15,1.1673,20.23,34.0866
22,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,Cs2CO3,DMA,87.122,0.0945,20.31,32.1445
