Pd_precatalyst,Ligand,Pd_loading,Temperature,Selectfluor,yield
C4,L6,10,60,2.0,37
C4,L5,10,60,2.0,30
C4,L4,10,60,2.0,73
C4,L3,10,60,2.0,64
C4,L2,10,60,2.0,36
C4,L1,10,60,2.0,23
C3,L6,10,60,2.0,57
C3,L5,10,60,2.0,77
C3,L4,10,60,2.0,69
C3,L3,10,60,2.0,76
C3,L2,10,60,2.0,55
C3,L1,10,60,2.0,27
C2,L6,10,60,2.0,55
C2,L5,10,60,2.0,51
C2,L4,10,60,2.0,65
C2,L3,10,60,2.0,56
C2,L2,10,60,2.0,21
C2,L1,10,60,2.0,19
C1,L6,10,60,2.0,6
C1,L5,10,60,2.0,8
C1,L4,10,60,2.0,45
C1,L3,10,60,2.0,60
C1,L2,10,60,2.0,47
C1,L1,10,60,2.0,9
