code_name,SMILES,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Nucleophilicity idx,Second IP,Second EA,S0-T1 gap,MolLogP
acetone,CC(=O)C,4.0993,-10.8528,-6.7535,9.7595,-2.2847,3.418,0,209.3589,-5.0041,-1.4009,-8.8031,41.4386,0.0341,12.0442,0.083,3.7374,0.5799,1.3223,16.9004,-0.9804,103.2964,0.5953
2-butanone,CCC(=O)C,4.0175,-10.7402,-6.7227,9.304,-2.2477,3.2898,0,237.4644,-4.6447,-1.1976,-8.7315,53.1308,0.0384,11.5517,0.0866,3.5281,0.5388,1.4031,15.5202,-0.785,101.1823,0.9854
2-pentanone,CCCC(=O)C,4.0071,-10.7117,-6.7046,9.0334,-2.2278,3.2802,0,265.2796,-4.6761,-1.1787,-8.7082,64.783,0.0402,11.2611,0.0888,3.4028,0.5142,1.4564,14.6285,-0.6753,100.9779,1.3755
2-hexanone,CCCCC(=O)C,4.0201,-10.7051,-6.685,8.8171,-2.2265,3.2507,0,292.2911,-4.7322,-1.1665,-8.6951,76.4405,0.0414,11.0436,0.0905,3.2953,0.4917,1.5056,13.9738,-0.6298,101.2931,1.7656
ethyl acetate,CC(=O)OCC,5.1801,-11.3477,-6.1675,9.7645,-2.8495,2.3426,0,257.0746,-5.4817,-1.6621,-8.7576,57.9929,0.0114,12.614,0.0793,3.4576,0.4739,1.4431,15.4674,-1.5812,131.0424,0.5694
formaldehyde,C=O,3.6195,-11.5344,-7.9149,11.0466,-1.9438,2.335,0,145.1287,-1.5483,-0.6184,-9.7246,18.7705,0.0579,12.9904,0.077,4.5514,0.7973,1.0679,19.9139,-2.2326,91.9524,-0.1849
benzaldehyde,O=CC1=CC=CC=C1,2.9181,-10.8996,-7.9815,9.1496,0.0988,3.632,0,268.0704,-4.0748,-0.8092,-9.4405,81.2117,0.1643,9.0508,0.1105,4.6242,1.1813,0.9541,14.7265,3.8162,72.3693,1.4991
acetic acid,CC(=O)O,5.2116,-11.6295,-6.4179,10.8912,-2.8235,2.031,0,195.5073,-9.6729,-6.12,-9.0237,34.5899,0.0098,13.7147,0.0729,4.0338,0.5932,1.2314,18.5928,-2.0126,132.3999,0.0909
formic acid,C(=O)O,5.1519,-12.0573,-6.9054,11.6685,-2.7412,1.928,0,162.9169,-8.6204,-5.9946,-9.4814,23.3881,0.0103,14.4097,0.0694,4.4636,0.6913,1.1074,20.3279,-2.8717,130.7456,-0.2992
acetophenone,CC(=O)C1=CC=CC=C1,3.0413,-10.6773,-7.636,8.8101,-0.1185,3.465,0,292.6306,-5.3729,-1.1206,-9.1566,92.5165,0.1441,8.9286,0.112,4.3458,1.0576,1.0317,14.1902,3.7835,75.3565,1.8892
